# T[k]  Density[cm^-3]  U(1)[] Na0/Na NaI/Na NaII/Na NaIII/Na NaIV/Na NaV/Na NaVI/Na NaVII/Na NaVIII/Na NaIX/Na NaX/Na NaXI/Na
 1.585e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  4.30000e-29  3.36000e-23  2.59000e-18  1.76000e-14  5.86000e-11  4.10000e-08  8.85000e-06  3.68000e-03  1.07000e-01  8.90000e-01
 1.995e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  1.13000e-29  1.07000e-23  9.17000e-19  8.01000e-15  2.94000e-11  2.07000e-08  5.77000e-06  2.80000e-03  9.38000e-02  9.03000e-01
 2.512e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  2.95000e-30  3.38000e-24  3.26000e-19  3.60000e-15  1.46000e-11  1.07000e-08  3.74000e-06  2.12000e-03  8.23000e-02  9.16000e-01
 3.162e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  7.86000e-31  1.10000e-24  1.19000e-19  1.63000e-15  7.27000e-12  5.69000e-09  2.41000e-06  1.60000e-03  7.21000e-02  9.26000e-01
 3.981e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  2.62000e-31  3.73000e-25  4.44000e-20  7.46000e-16  3.68000e-12  3.17000e-09  1.55000e-06  1.21000e-03  6.30000e-02  9.36000e-01
 5.012e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  1.31000e-31  1.44000e-25  1.77000e-20  3.55000e-16  1.92000e-12  1.86000e-09  9.90000e-07  9.05000e-04  5.49000e-02  9.44000e-01
 6.310e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  6.55000e-32  7.07000e-26  8.04000e-21  1.82000e-16  1.04000e-12  1.13000e-09  6.29000e-07  6.77000e-04  4.78000e-02  9.52000e-01
 7.943e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  6.55000e-32  4.59000e-26  4.40000e-21  1.03000e-16  5.90000e-13  6.96000e-10  3.98000e-07  5.05000e-04  4.15000e-02  9.58000e-01
 1.000e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  6.55000e-32  3.55000e-26  2.81000e-21  6.31000e-17  3.42000e-13  4.24000e-10  2.50000e-07  3.75000e-04  3.59000e-02  9.64000e-01
 1.259e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  6.55000e-32  2.74000e-26  1.85000e-21  3.90000e-17  1.97000e-13  2.50000e-10  1.57000e-07  2.78000e-04  3.11000e-02  9.69000e-01
 1.585e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  6.55000e-32  1.82000e-26  1.13000e-21  2.25000e-17  1.08000e-13  1.42000e-10  9.76000e-08  2.05000e-04  2.68000e-02  9.73000e-01
 1.995e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  9.91000e-27  5.94000e-22  1.17000e-17  5.53000e-14  7.70000e-11  6.05000e-08  1.51000e-04  2.31000e-02  9.77000e-01
 2.512e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  4.41000e-27  2.70000e-22  5.40000e-18  2.63000e-14  4.03000e-11  3.73000e-08  1.11000e-04  1.99000e-02  9.80000e-01
 3.162e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.66000e-27  1.08000e-22  2.25000e-18  1.18000e-14  2.05000e-11  2.29000e-08  8.11000e-05  1.71000e-02  9.83000e-01
 3.981e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  5.49000e-28  3.93000e-23  8.72000e-19  4.99000e-15  1.02000e-11  1.40000e-08  5.91000e-05  1.47000e-02  9.85000e-01
 5.012e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.62000e-28  1.31000e-23  3.19000e-19  2.04000e-15  5.00000e-12  8.46000e-09  4.29000e-05  1.26000e-02  9.87000e-01
 6.310e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  4.35000e-29  4.08000e-24  1.11000e-19  8.14000e-16  2.44000e-12  5.10000e-09  3.10000e-05  1.07000e-02  9.89000e-01
 7.943e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.05000e-29  1.18000e-24  3.72000e-20  3.17000e-16  1.18000e-12  3.05000e-09  2.24000e-05  9.15000e-03  9.91000e-01
 1.000e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.36000e-30  3.18000e-25  1.19000e-20  1.21000e-16  5.67000e-13  1.82000e-09  1.60000e-05  7.79000e-03  9.92000e-01
 1.259e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  4.58000e-31  7.99000e-26  3.65000e-21  4.52000e-17  2.71000e-13  1.08000e-09  1.15000e-05  6.62000e-03  9.93000e-01
 1.585e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  6.55000e-32  1.92000e-26  1.10000e-21  1.69000e-17  1.31000e-13  6.61000e-10  8.24000e-06  5.61000e-03  9.94000e-01
 1.995e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.72000e-27  3.44000e-22  6.74000e-18  6.84000e-14  4.36000e-10  6.00000e-06  4.74000e-03  9.95000e-01
 2.512e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.27000e-27  1.20000e-22  3.05000e-18  4.08000e-14  3.30000e-10  4.53000e-06  3.99000e-03  9.96000e-01
 3.162e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.86000e-28  4.81000e-23  1.59000e-18  2.83000e-14  2.88000e-10  3.61000e-06  3.36000e-03  9.97000e-01
 3.981e+06  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.23000e-28  2.05000e-23  9.02000e-19  2.13000e-14  2.70000e-10  3.00000e-06  2.81000e-03  9.97000e-01
