# T[k]  Density[cm^-3]  U(1)[] Al0/Al AlI/Al AlII/Al AlIII/Al AlIV/Al AlV/Al AlVI/Al AlVII/Al AlVIII/Al AlIX/Al AlX/Al AlXI/Al AlXII/Al AlXIII/Al
 1.000e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  5.76000e-28  9.82000e-23  3.68000e-18  1.92000e-14  2.80000e-11  2.68000e-08  9.02000e-06  4.03000e-04  3.25000e-02  2.69000e-01  6.98000e-01
 1.259e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.88000e-28  3.80000e-23  1.66000e-18  9.02000e-15  1.55000e-11  1.65000e-08  5.33000e-06  2.74000e-04  2.56000e-02  2.44000e-01  7.30000e-01
 1.585e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  6.36000e-29  1.52000e-23  7.73000e-19  4.32000e-15  8.67000e-12  9.82000e-09  3.06000e-06  1.85000e-04  2.00000e-02  2.21000e-01  7.59000e-01
 1.995e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.13000e-29  6.00000e-24  3.54000e-19  2.06000e-15  4.80000e-12  5.67000e-09  1.71000e-06  1.24000e-04  1.56000e-02  1.98000e-01  7.86000e-01
 2.512e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  6.79000e-30  2.27000e-24  1.54000e-19  9.63000e-16  2.59000e-12  3.16000e-09  9.37000e-07  8.20000e-05  1.20000e-02  1.77000e-01  8.11000e-01
 3.162e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.04000e-30  8.16000e-25  6.37000e-20  4.40000e-16  1.36000e-12  1.72000e-09  5.11000e-07  5.41000e-05  9.24000e-03  1.58000e-01  8.33000e-01
 3.981e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  6.18000e-31  2.88000e-25  2.59000e-20  2.04000e-16  7.15000e-13  9.28000e-10  2.83000e-07  3.54000e-05  7.07000e-03  1.40000e-01  8.53000e-01
 5.012e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.90000e-31  1.05000e-25  1.08000e-20  9.81000e-17  3.84000e-13  5.08000e-10  1.61000e-07  2.30000e-05  5.39000e-03  1.24000e-01  8.71000e-01
 6.310e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  4.75000e-32  4.20000e-26  4.85000e-21  4.97000e-17  2.13000e-13  2.84000e-10  9.48000e-08  1.49000e-05  4.08000e-03  1.09000e-01  8.87000e-01
 7.943e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  4.75000e-32  1.98000e-26  2.41000e-21  2.64000e-17  1.21000e-13  1.62000e-10  5.68000e-08  9.55000e-06  3.08000e-03  9.55000e-02  9.01000e-01
 1.000e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.17000e-26  1.35000e-21  1.48000e-17  7.04000e-14  9.28000e-11  3.41000e-08  6.09000e-06  2.32000e-03  8.36000e-02  9.14000e-01
 1.259e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.37000e-27  8.13000e-22  8.60000e-18  4.08000e-14  5.29000e-11  2.01000e-08  3.87000e-06  1.73000e-03  7.29000e-02  9.25000e-01
 1.585e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.21000e-27  4.88000e-22  4.97000e-18  2.30000e-14  2.92000e-11  1.16000e-08  2.44000e-06  1.29000e-03  6.35000e-02  9.35000e-01
 1.995e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.12000e-27  2.67000e-22  2.68000e-18  1.21000e-14  1.54000e-11  6.45000e-09  1.53000e-06  9.61000e-04  5.51000e-02  9.44000e-01
 2.512e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.25000e-27  1.26000e-22  1.29000e-18  5.85000e-15  7.64000e-12  3.47000e-09  9.56000e-07  7.11000e-04  4.77000e-02  9.52000e-01
 3.162e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e-27  5.13000e-23  5.49000e-19  2.56000e-15  3.55000e-12  1.80000e-09  5.93000e-07  5.24000e-04  4.13000e-02  9.58000e-01
 3.981e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.77000e-28  1.84000e-23  2.11000e-19  1.03000e-15  1.56000e-12  9.13000e-10  3.66000e-07  3.85000e-04  3.56000e-02  9.64000e-01
 5.012e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.26000e-28  6.15000e-24  7.59000e-20  3.91000e-16  6.56000e-13  4.54000e-10  2.24000e-07  2.82000e-04  3.06000e-02  9.69000e-01
 6.310e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.90000e-29  1.97000e-24  2.65000e-20  1.44000e-16  2.69000e-13  2.24000e-10  1.37000e-07  2.05000e-04  2.63000e-02  9.74000e-01
 7.943e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.11000e-29  6.07000e-25  9.01000e-21  5.26000e-17  1.09000e-13  1.10000e-10  8.29000e-08  1.49000e-04  2.25000e-02  9.77000e-01
