# T[k]  Density[cm^-3]  U(1)[] Mg0/Mg MgI/Mg MgII/Mg MgIII/Mg MgIV/Mg MgV/Mg MgVI/Mg MgVII/Mg MgVIII/Mg MgIX/Mg MgX/Mg MgXI/Mg MgXII/Mg
 1.259e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  2.83000e-32  3.10000e-26  3.28000e-21  6.69000e-17  2.33000e-13  2.35000e-10  2.00000e-07  6.75000e-05  1.19000e-02  1.78000e-01  8.10000e-01
 1.585e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  8.08000e-33  1.12000e-26  1.40000e-21  3.00000e-17  1.25000e-13  1.47000e-10  1.34000e-07  4.48000e-05  9.15000e-03  1.58000e-01  8.32000e-01
 1.995e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  4.04000e-33  4.04000e-27  5.95000e-22  1.36000e-17  6.80000e-14  9.33000e-11  8.72000e-08  2.95000e-05  7.02000e-03  1.41000e-01  8.52000e-01
 2.512e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.42000e-27  2.50000e-22  6.12000e-18  3.67000e-14  5.88000e-11  5.53000e-08  1.93000e-05  5.37000e-03  1.24000e-01  8.70000e-01
 3.162e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  4.94000e-28  1.04000e-22  2.78000e-18  1.97000e-14  3.69000e-11  3.47000e-08  1.26000e-05  4.09000e-03  1.10000e-01  8.86000e-01
 3.981e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  1.75000e-28  4.41000e-23  1.30000e-18  1.08000e-14  2.35000e-11  2.20000e-08  8.15000e-06  3.10000e-03  9.65000e-02  9.00000e-01
 5.012e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  6.81000e-29  1.99000e-23  6.46000e-19  6.11000e-15  1.53000e-11  1.42000e-08  5.25000e-06  2.34000e-03  8.46000e-02  9.13000e-01
 6.310e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  3.43000e-29  1.04000e-23  3.52000e-19  3.68000e-15  1.02000e-11  9.27000e-09  3.36000e-06  1.76000e-03  7.40000e-02  9.24000e-01
 7.943e+04  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.52000e-29  6.70000e-24  2.17000e-19  2.37000e-15  6.82000e-12  6.03000e-09  2.14000e-06  1.32000e-03  6.46000e-02  9.34000e-01
 1.000e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.45000e-29  5.14000e-24  1.50000e-19  1.60000e-15  4.48000e-12  3.83000e-09  1.36000e-06  9.86000e-04  5.62000e-02  9.43000e-01
 1.259e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.49000e-29  4.07000e-24  1.06000e-19  1.06000e-15  2.82000e-12  2.34000e-09  8.54000e-07  7.34000e-04  4.88000e-02  9.50000e-01
 1.585e+05  1.000e-08  5.714e+02  0.00000e+00  0.00000e+00  0.00000e+00  2.16000e-29  2.88000e-24  6.90000e-20  6.47000e-16  1.66000e-12  1.37000e-09  5.35000e-07  5.44000e-04  4.23000e-02  9.57000e-01
